borough,hour,borough_hour_avg_dispatch
Manhattan,16,217.64877293656014
Bronx,16,251.84272042873548
Queens,16,242.6020117637971
Manhattan,15,218.5844833502874
Queens,15,246.6928684394007
Bronx,15,262.2965082300399
Manhattan,17,250.76132805347007
Queens,17,253.0681885531519
Bronx,17,272.42998971879734
Manhattan,18,276.25133639159145
Queens,18,269.12400659113115
Bronx,18,265.51074021823166
Brooklyn,19,243.3137856829609
Staten Island,19,295.93998213270527
Brooklyn,20,227.30684935676697
Staten Island,20,310.211680194048
Brooklyn,21,224.74861576915777
Staten Island,21,324.06111289803795
Queens,22,302.29996280223185
Manhattan,22,267.8419695513084
Bronx,22,271.21419178370417
Brooklyn,23,270.7768071659319
Staten Island,23,391.5574937203461
Manhattan,0,281.87992074227907
Queens,0,289.12150550770673
Bronx,0,267.04674983377134
Brooklyn,1,255.13385292844129
Staten Island,1,399.23251203625034
Manhattan,2,274.3196227481665
Bronx,2,277.2137474541752
Queens,2,281.44746631396214
Brooklyn,3,330.5976238604018
Staten Island,3,433.93918918918916
Brooklyn,4,326.5985149672591
Staten Island,4,425.63335561497325
Queens,5,273.83266144367536
Manhattan,5,250.57245170571312
Bronx,5,288.71067409822274
Brooklyn,6,303.22279962444594
Staten Island,6,358.05610215616497
Brooklyn,7,329.34115564497796
Staten Island,7,366.6259141713813
Brooklyn,8,288.1688137312366
Staten Island,8,308.3286914765906
Manhattan,9,214.44676129015488
Queens,9,235.26299464735143
Bronx,9,239.9218921892189
Manhattan,10,198.35512699741207
Bronx,10,237.34243534708406
Queens,10,242.88716992382004
Manhattan,11,201.88993351392952
Bronx,11,238.7920918367347
Queens,11,236.410483128419
Brooklyn,12,245.1192304451065
Staten Island,12,286.0840039415339
Brooklyn,13,244.2356795037823
Staten Island,13,286.6279916753382
Bronx,14,265.4393623078383
Manhattan,14,212.18185787094305
Queens,14,258.2985090515865
Brooklyn,16,234.9025187440471
Brooklyn,15,244.63644824856692
Staten Island,16,274.9611211573237
Staten Island,15,287.33723833301326
Brooklyn,17,255.31200204971256
Staten Island,17,288.4227190332326
Brooklyn,18,263.21932745399766
Staten Island,18,298.920130399348
Manhattan,19,247.44117708893972
Queens,19,272.4107161428542
Bronx,19,255.39050093338955
Manhattan,20,227.62536339056942
Queens,20,276.02612227667134
Bronx,20,250.11815076639107
Manhattan,21,239.33620421246448
Queens,21,276.4664555599963
Bronx,21,251.46823573833422
Brooklyn,22,250.25831699598496
Staten Island,22,368.095766590389
Manhattan,23,285.482348552877
Queens,23,320.30846413601176
Bronx,23,281.62723422914047
Brooklyn,0,256.0541175405132
Staten Island,0,392.4651520985753
Manhattan,1,276.8941050019786
Bronx,1,265.80346974873396
Queens,1,264.73926577090924
Brooklyn,2,291.582966454117
Staten Island,2,412.15979600509985
Manhattan,3,267.6847722333922
Queens,3,323.22289193677346
Bronx,3,301.646875
Manhattan,4,277.8609227285593
Queens,4,324.0119912064486
Bronx,4,299.10532641700405
Brooklyn,5,297.5215746724373
Staten Island,5,388.340597407477
Manhattan,6,245.30340266982506
Queens,6,262.68915408743385
Bronx,6,298.3335569600885
Queens,7,287.65958434059326
Bronx,7,339.93664832385537
Manhattan,7,255.9617083364637
Manhattan,8,259.8559527500465
Queens,8,258.9992891284396
Bronx,8,276.19039638692817
Brooklyn,9,249.40384941495677
Staten Island,9,268.4053933916136
Staten Island,10,267.3561139028476
Brooklyn,10,235.76498559714202
Brooklyn,11,235.45193703926697
Staten Island,11,272.8491486196065
Manhattan,12,209.67324482167376
Bronx,12,249.28678817723255
Queens,12,243.27358371980708
Queens,13,247.17569694244605
Manhattan,13,208.97890197940276
Bronx,13,251.8135534023211
Brooklyn,14,248.0949629721384
Staten Island,14,306.1200226457822
