pu,do,osrm_distance_m,osrm_duration_s
1,1,0.0,0.0
1,2,56264.2,3569.5
1,3,44968.5,2841.5
1,4,23265.3,1818.8
1,5,22430.3,1613.7
1,6,23032.0,1494.9
1,7,33255.0,2585.3
1,8,33917.9,2551.9
1,9,42059.0,2995.4
1,10,44892.2,3125.3
1,11,30528.2,1948.3
1,12,28885.6,2070.9
1,13,21513.6,1537.0
1,14,28575.2,1799.0
1,15,50376.6,2880.3
1,16,54170.7,3132.9
1,17,27859.3,2158.3
1,18,39959.7,2507.2
1,19,47853.9,3318.6
1,20,39744.4,2470.0
1,21,32118.6,2116.7
1,22,31095.9,2004.8
1,23,16156.0,1164.8
1,24,31271.5,2303.4
1,25,24856.8,1931.3
2,1,42885.3,3520.8
2,2,0.0,0.0
2,3,35186.6,2261.8
2,4,21984.4,2083.6
2,5,48953.8,3383.2
2,6,34096.4,2263.6
2,7,28617.7,1941.7
2,8,28862.2,1873.2
2,9,21641.2,1523.6
2,10,11806.7,959.1
2,11,26915.2,1798.6
2,12,25930.5,2015.1
2,13,27086.7,2146.5
2,14,31056.5,2045.1
2,15,28523.9,1778.0
2,16,24681.3,1674.0
2,17,16763.6,1528.9
2,18,38730.5,2491.9
2,19,23181.5,1506.5
2,20,36840.5,2383.8
2,21,25137.1,1768.3
2,22,22914.8,1814.3
2,23,42473.0,2762.2
2,24,37004.8,2507.8
2,25,20041.5,1991.9
3,1,47488.7,2878.7
3,2,34085.5,2329.8
3,3,0.0,0.0
3,4,23118.8,1883.1
3,5,63730.0,3866.3
3,6,47491.5,2987.1
3,7,16834.7,1393.4
3,8,16616.0,1355.8
3,9,16757.7,1106.6
3,10,24764.3,1599.8
3,11,45295.8,2889.9
3,12,38194.6,2456.2
3,13,29197.2,2270.7
3,14,43123.1,2717.6
3,15,12042.3,794.5
3,16,15836.4,1047.1
3,17,27258.6,2040.8
3,18,5888.5,556.4
3,19,22300.8,1326.6
3,20,4030.7,494.3
3,21,39802.4,2825.2
3,22,40167.8,2822.7
3,23,52663.5,3377.8
3,24,17779.2,1391.8
3,25,32589.4,2234.9
4,1,23555.4,1814.8
4,2,22267.9,2243.5
4,3,24499.0,1918.8
4,4,0.0,0.0
4,5,36951.4,2691.0
4,6,22093.9,1571.4
4,7,10667.5,1066.2
4,8,11330.5,1032.8
4,9,22492.7,1564.8
4,10,25325.9,1694.7
4,11,19898.3,1474.2
4,12,12773.3,1032.0
4,13,6316.3,594.1
4,14,17725.5,1301.9
4,15,26259.5,1767.3
4,16,25417.9,1746.6
4,17,7221.3,832.7
4,18,21500.2,1667.1
4,19,28287.5,1888.0
4,20,21631.2,1644.2
4,21,18928.6,1514.6
4,22,18806.2,1447.1
4,23,30470.5,2070.0
4,24,12117.3,1152.6
4,25,6641.3,827.3
5,1,22820.7,1601.6
5,2,48217.1,3382.5
5,3,63034.2,3887.0
5,4,35477.3,2692.7
5,5,0.0,0.0
5,6,14984.9,1307.9
5,7,46021.1,3198.7
5,8,46034.3,3202.7
5,9,51895.5,3484.4
5,10,48579.8,3265.6
5,11,22481.1,1761.3
5,12,30256.8,2133.4
5,13,31413.1,2264.8
5,14,20528.1,1612.0
5,15,54372.1,3664.6
5,16,54820.7,3666.2
5,17,35359.5,2588.5
5,18,58025.5,3552.7
5,19,57690.3,3807.6
5,20,57810.1,3515.5
5,21,24071.4,1929.7
5,22,23048.7,1817.8
5,23,9333.8,736.4
5,24,41895.9,3304.8
5,25,30139.0,2223.1
6,1,22263.7,1482.7
6,2,33859.3,2234.4
6,3,46677.1,3000.3
6,4,21119.5,1544.6
6,5,15769.8,1304.2
6,6,0.0,0.0
6,7,31663.4,2050.6
6,8,31676.6,2054.6
6,9,37537.7,2336.3
6,10,34222.0,2117.5
6,11,8123.3,613.2
6,12,15899.1,985.3
