location_id,borough,zone,lon,lat
1,EWR,Newark Airport,-74.17400156582248,40.69183016020958
2,Queens,Jamaica Bay,-73.83129979354713,40.616746199373786
3,Bronx,Allerton/Pelham Gardens,-73.8474217852696,40.86447372906585
4,Manhattan,Alphabet City,-73.97696827424141,40.72375208451233
5,Staten Island,Arden Heights,-74.18848459794721,40.55265878064343
6,Staten Island,Arrochar/Fort Wadsworth,-74.07177024696533,40.600324409468406
7,Queens,Astoria,-73.91969433569462,40.76149261704312
8,Queens,Astoria Park,-73.92308626324494,40.77855862576789
9,Queens,Auburndale,-73.78794875477833,40.75103435668663
10,Queens,Baisley Park,-73.79098676199028,40.67895308442328
11,Brooklyn,Bath Beach,-74.00748784386448,40.60427268170343
12,Manhattan,Battery Park,-74.01556349991374,40.70294582144012
13,Manhattan,Battery Park City,-74.01607927269924,40.71203792466726
14,Brooklyn,Bay Ridge,-74.0298925099,40.62483367229869
15,Queens,Bay Terrace/Fort Totten,-73.78597285841018,40.78333300468791
16,Queens,Bayside,-73.77342112932584,40.762737532164934
17,Brooklyn,Bedford,-73.94990480444068,40.691507021611976
18,Bronx,Bedford Park,-73.89018381164814,40.86768222238495
19,Queens,Bellerose,-73.72665540152784,40.73548651046705
20,Bronx,Belmont,-73.88586744911127,40.857779440562844
21,Brooklyn,Bensonhurst East,-73.98353783537917,40.60142907301775
22,Brooklyn,Bensonhurst West,-73.99525864587314,40.61221766982796
23,Staten Island,Bloomfield/Emerson Hill,-74.17088508711593,40.60644824321444
24,Manhattan,Bloomingdale,-73.96547935663406,40.801970515634174
25,Brooklyn,Boerum Hill,-73.98611374739605,40.68563370139058
26,Brooklyn,Borough Park,-73.98866057160336,40.63094925326426
27,Queens,Breezy Point/Fort Tilden/Riis Beach,-73.90691199328067,40.55913475562822
28,Queens,Briarwood/Jamaica Hills,-73.80872922918115,40.711596489319724
29,Brooklyn,Brighton Beach,-73.96121662082737,40.58092175157135
30,Queens,Broad Channel,-73.82192752206782,40.60368693988757
31,Bronx,Bronx Park,-73.87547602176667,40.85774566451417
32,Bronx,Bronxdale,-73.86490091353166,40.86400203645644
33,Brooklyn,Brooklyn Heights,-73.99525009947318,40.69579808472252
34,Brooklyn,Brooklyn Navy Yard,-73.97118860464191,40.70085574405344
